City Name,Cloud Cover (%),Country,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
Lata,92,IN,86,30.78,78.62,35.04,2.39
Shelburne,1,CA,69,44.08,-80.2,39.2,5.82
Moerai,92,PF,100,-22.43,-151.33,77.47,8.43
Wajid,0,SO,51,3.81,43.25,80.4,10.78
Scarborough,0,GB,80,54.28,-0.41,42.22,9.17
Nanortalik,88,GL,93,60.14,-45.24,28.56,25.88
Yar-Sale,48,RU,97,66.83,70.83,4.53,11.01
Arraial do Cabo,0,BR,46,-22.97,-42.02,95.04,10.29
Esso,0,RU,0,55.93,158.7,-46.73,1.95
Chuy,0,UY,91,-33.69,-53.46,74.77,6.2
Husavik,20,CA,89,50.56,-96.99,25.23,3.06
Saskylakh,36,RU,60,71.97,114.09,-12.98,9.89
Upernavik,56,GL,100,72.79,-56.15,13.71,5.3
Caravelas,0,BR,99,-17.73,-39.27,80.58,22.08
Kodiak,1,US,72,39.95,-94.76,40.68,3.36
Baculin,24,PH,97,7.45,126.58,75.9,9.44
Kaitangata,20,NZ,72,-46.28,169.85,53.8,4.18
Tuktoyaktuk,90,CA,84,69.44,-133.03,1.4,12.75
Yakeshi,0,CN,31,49.28,120.73,-22.93,5.75
Qaqortoq,8,GL,88,60.72,-46.03,26.67,25.32
Rio Gallegos,40,AR,25,-51.62,-69.22,60.8,46.08
Erkelenz,75,DE,93,51.08,6.32,37.85,9.17
Shitanjing,80,CN,50,39.23,106.34,5.16,1.72
Ilulissat,75,GL,79,69.22,-51.1,21.2,10.29
Verkhnyaya Inta,80,RU,71,65.99,60.32,11.1,5.53
Faanui,8,PF,100,-16.48,-151.75,83.55,10.67
Bandarbeyla,88,SO,100,9.49,50.81,76.35,19.06
Sarka Ghat,92,IN,94,31.7,76.73,39.99,2.39
Hay River,90,CA,92,60.82,-115.79,5.0,4.7
Broken Hill,68,AU,43,-31.97,141.45,69.8,21.92
Carnarvon,0,ZA,12,-30.97,22.13,83.01,14.81
Lompoc,1,US,64,34.64,-120.46,44.6,3.36
Simplicio Mendes,8,BR,31,-7.85,-41.91,98.4,6.87
Tres Arroyos,0,AR,49,-38.38,-60.28,83.46,11.01
Port Elizabeth,1,US,65,39.31,-74.98,44.87,6.93
Coruripe,32,BR,92,-10.12,-36.18,81.66,13.02
Jumla,80,NP,79,29.28,82.18,15.28,1.61
Guarapari,20,BR,56,-20.67,-40.5,95.0,20.8
Hasaki,20,JP,86,35.73,140.83,31.89,4.7
Luderitz,0,NA,67,-26.65,15.16,65.73,19.51
Sisimiut,76,GL,100,66.94,-53.67,8.04,3.4
The Valley,40,AI,65,18.22,-63.06,81.3,13.87
Vypolzovo,80,RU,95,54.52,40.18,26.67,5.64
Torbay,75,CA,79,47.66,-52.73,32.56,2.24
Komatipoort,88,MZ,67,-25.43,31.96,81.12,7.43
Diffa,12,NE,27,13.32,12.61,71.85,7.54
Cape Town,75,ZA,69,-33.93,18.42,73.4,17.22
Kirakira,80,SB,100,-10.46,161.92,78.6,7.65
Oranjemund,0,ZA,90,-28.55,16.43,64.78,21.63
Eyl,24,SO,98,7.98,49.82,74.82,19.84
Shelekhov,0,RU,30,52.21,104.1,-21.31,3.74
Muisne,75,EC,79,0.61,-80.02,84.2,4.7
Havoysund,75,NO,100,71.0,24.66,35.6,12.75
Chokurdakh,64,RU,66,70.62,147.9,-8.75,3.29
Ribeira Grande,20,PT,68,38.52,-28.7,64.4,5.82
Ngunguru,0,NZ,97,-35.62,174.5,66.4,13.58
Victoria,75,BN,94,5.28,115.24,80.6,5.64
Tasiilaq,92,GL,86,65.61,-37.64,33.8,27.51
Presidente Medici,20,BR,70,-11.18,-61.9,88.77,3.18
Sao Filipe,20,CV,88,14.9,-24.5,75.0,14.7
Bella Vista,44,AR,93,-28.51,-59.05,84.0,10.0
Geraldton,75,CA,79,49.72,-86.95,32.0,11.41
Tautira,40,PF,66,-17.73,-149.15,84.2,5.82
Cabrero,0,CL,47,-37.04,-72.4,76.37,14.99
Castro,40,CL,68,-42.48,-73.76,66.2,13.87
Akrolimni,90,GR,80,40.68,22.26,35.6,19.46
Kununurra,92,AU,94,-15.77,128.74,75.2,2.24
Lembeni,20,TZ,75,-3.78,37.62,72.52,11.56
Awbari,0,LY,58,26.59,12.77,47.64,6.87
Saint George,90,GR,94,39.45,22.34,32.0,8.05
Elk City,1,US,63,35.41,-99.4,35.67,10.29
Puerto Colombia,0,CO,52,10.99,-74.96,91.4,11.41
Marsh Harbour,0,BS,98,26.54,-77.06,77.79,13.91
Greensburg,1,US,62,30.83,-90.67,48.63,12.75
Port Hardy,75,CA,93,50.7,-127.42,42.8,14.99
Bedford,90,GB,80,52.14,-0.47,35.44,9.17
Kruisfontein,12,ZA,81,-34.0,24.73,67.57,18.05
Vanavara,36,RU,65,60.35,102.28,-14.6,5.3
Ferrol,0,ES,71,43.48,-8.23,50.0,4.7
Cidreira,100,BR,90,-30.17,-50.22,72.3,9.1
Chivilcoy,0,AR,45,-34.9,-60.02,86.43,6.2
Bambous Virieux,40,MU,88,-20.34,57.76,80.6,4.7
Yerbogachen,88,RU,62,61.28,108.01,-3.17,6.98
Ahipara,0,NZ,99,-35.17,173.16,61.9,8.43
Vao,92,EE,96,59.1,26.19,25.59,1.61
Lagoa,0,PT,72,37.14,-8.45,59.0,5.82
Thompson,75,CA,72,55.74,-97.86,17.6,12.75
Lethem,56,GY,49,3.38,-59.8,90.12,17.83
Oktyabrskiy,75,RU,85,55.61,37.97,23.36,4.47
Sarangani,20,PH,97,5.4,125.46,82.47,17.83
Loralai,0,PK,39,30.37,68.6,42.55,11.56
Porosozero,80,RU,85,62.72,32.71,12.22,3.51
Paris,90,FR,75,48.86,2.35,40.55,4.7
Flinders,0,AU,85,-34.58,150.85,71.76,4.85
Guerrero Negro,0,MX,57,27.97,-114.04,58.57,4.41
Ciudad Bolivar,0,VE,53,8.12,-63.55,90.12,12.24
Saint-Augustin,0,FR,69,44.83,-0.61,39.2,2.24
Patawag,12,PH,98,8.11,122.62,81.88,22.3
Bathsheba,40,BB,62,13.22,-59.52,84.2,18.34
Saint-Francois,0,FR,86,46.42,3.91,33.8,3.36
Coihaique,40,CL,45,-45.58,-72.07,64.33,8.05
Songkhla,75,TH,88,7.2,100.6,77.0,4.7
Wadi Maliz,40,TN,81,36.47,8.55,45.32,8.05
Mantua,40,IT,64,45.16,10.79,36.34,2.24
Seoul,75,KR,85,37.57,126.98,26.4,2.24
Ponta do Sol,92,BR,76,-20.63,-46.0,76.75,7.76
Erenhot,0,CN,21,43.65,111.97,-15.23,3.06
Onguday,12,RU,58,50.75,86.14,-9.38,2.39
Brigantine,1,US,62,39.41,-74.36,45.79,9.17
New Norfolk,20,AU,44,-42.78,147.06,60.8,14.99
Buraydah,20,SA,59,26.33,43.97,60.8,6.93
Mahebourg,40,MU,88,-20.41,57.7,80.6,4.7
Pangnirtung,5,CA,67,66.15,-65.72,-23.81,2.24
Antipovka,92,RU,98,49.83,45.31,33.55,18.95
Zaoyang,0,CN,79,32.12,112.76,24.82,6.08
Kuytun,0,RU,70,54.34,101.51,-11.05,6.64
Hambantota,0,LK,100,6.12,81.12,78.51,17.72
Gao,0,ML,23,16.28,-0.04,72.3,6.64
Aklavik,75,CA,84,68.22,-135.01,3.2,9.17
Chapais,90,CA,92,49.78,-74.86,28.4,12.75
Novovasylivka,92,UA,98,48.2,37.04,28.11,15.82
Cap Malheureux,40,MU,88,-19.98,57.61,80.6,4.7
Ulladulla,12,AU,82,-35.36,150.48,75.4,9.44
Aden,0,YE,100,12.79,45.03,76.8,11.68
Port Keats,0,AU,88,-14.25,129.55,83.68,12.01
Weihai,0,CN,100,37.5,122.11,34.32,18.28
Maniitsoq,80,GL,100,65.42,-52.9,18.25,23.2
Walvis Bay,0,NA,68,-22.95,14.51,68.0,9.17
Rawson,0,AR,29,-43.3,-65.11,84.85,10.78
Purificacion,40,CO,45,3.86,-74.93,86.0,10.29
Namatanai,68,PG,100,-3.66,152.44,79.95,12.68
Yulara,20,AU,37,-25.24,130.99,82.4,21.92
Cobija,75,BR,100,-11.02,-68.77,75.2,19.46
Lander,1,US,73,42.83,-108.73,23.14,4.7
Zalari,0,RU,60,53.57,102.52,-13.43,10.78
Dicabisagan,100,PH,100,17.08,122.42,74.05,5.97
Santa Rosa,0,AR,48,-36.62,-64.29,88.0,5.41
Mount Isa,8,AU,94,-20.73,139.49,73.4,4.63
Ossora,0,RU,100,59.24,163.07,-20.95,5.64
Edeia,44,BR,60,-17.34,-49.93,90.75,4.29
Broome,75,GB,86,52.47,1.45,36.9,8.05
Chicama,20,PE,73,-7.84,-79.15,77.0,9.17
Hualmay,8,PE,66,-11.1,-77.61,77.25,3.74
Vila Franca do Campo,40,PT,93,37.72,-25.43,62.6,5.82
Mudu,92,CN,99,31.26,120.51,45.57,11.45
Berlevag,75,NO,92,70.86,29.09,28.36,14.99
Goundam,8,ML,25,16.42,-3.66,74.77,7.09
Luba,0,PH,78,17.32,120.7,63.75,2.62
Pangody,44,RU,82,65.85,74.49,3.63,13.13
Aquiraz,20,BR,66,-3.9,-38.39,87.8,20.8
Yingkou,0,CN,51,40.67,122.24,5.79,7.65
Camacha,75,PT,59,33.08,-16.33,62.6,8.05
Mineral Wells,1,US,51,32.81,-98.11,48.27,10.29
Saint-Georges,88,CA,79,46.12,-70.67,33.6,9.44
Saint-Philippe,90,CA,80,45.36,-73.48,35.6,17.22
Batagay,56,RU,0,67.65,134.64,-30.49,3.06
Mao,40,DO,58,19.55,-71.08,85.12,13.87
Poum,90,MK,62,41.28,20.71,23.0,14.99
Saldanha,0,PT,67,41.42,-6.55,34.23,3.96
Yanam,0,IN,77,16.73,82.22,68.0,4.7
Conakry,0,GN,99,9.52,-13.7,83.19,8.77
Port Blair,0,IN,100,11.67,92.75,81.75,15.26
Narsaq,48,GL,78,60.91,-46.05,16.86,17.83
Arlit,0,NE,66,18.74,7.39,59.83,3.62
Sur,0,OM,100,22.57,59.53,73.56,3.74
Perth,75,GB,86,56.4,-3.43,42.22,7.2
Alexandria,90,US,76,31.31,-92.44,44.55,11.41
Arman,0,RU,0,59.7,150.17,-42.46,2.62
Nexo,0,DK,86,55.06,15.13,41.0,16.11
Tiznit,0,MA,79,29.7,-9.73,58.8,2.73
Provideniya,0,RU,100,64.42,-173.23,1.11,4.41
Vila Velha,20,BR,66,-3.71,-38.6,87.8,20.8
Najran,5,SA,37,17.54,44.22,66.2,4.7
Sehore,8,IN,66,23.2,77.08,55.4,3.36
Severo-Kurilsk,76,RU,100,50.68,156.12,21.4,7.09
Dunedin,8,NZ,85,-45.87,170.5,50.88,3.96
Kilindoni,88,TZ,99,-7.91,39.67,84.54,14.92
Gat,0,SN,25,14.69,-16.54,84.09,4.29
Bacolod,80,PH,92,10.68,122.95,75.81,14.36
Havre-Saint-Pierre,75,CA,85,50.23,-63.6,14.0,12.75
Pathein,20,MM,91,16.78,94.73,67.98,6.87
Rovira,40,CO,45,4.24,-75.24,83.03,10.29
Nichinan,88,JP,100,31.65,131.31,45.48,4.41
Georgetown,75,GY,78,6.8,-58.16,81.45,18.34
Itarema,64,BR,67,-2.92,-39.92,86.43,15.37
Margate,20,AU,44,-43.03,147.26,60.8,14.99
Mosterhamn,75,NO,93,59.7,5.38,46.4,18.34
Dubbo,32,AU,35,-32.25,148.6,86.0,17.22
Sorland,75,NO,100,67.67,12.69,37.4,5.82
De-Kastri,0,RU,100,51.48,140.77,3.36,10.22
Fortuna,0,ES,71,38.18,-1.13,54.82,4.7
Kavaratti,0,IN,100,10.57,72.64,82.29,0.72
Hovd,90,NO,93,63.83,10.7,44.6,20.8
Letlhakeng,0,BW,69,-24.1,25.03,75.22,4.52
Touros,40,BR,58,-5.2,-35.46,87.8,14.99
Fond du Lac,1,US,69,43.77,-88.45,36.43,6.93
Puerto Leguizamo,36,CO,76,-0.19,-74.78,83.19,2.62
Wattegama,0,LK,90,7.35,80.68,63.93,4.18
Cravo Norte,56,CO,43,6.3,-70.2,93.09,13.91
Andilamena,76,MG,98,-17.01,48.57,66.22,1.72
La Ronge,75,CA,85,55.1,-105.3,12.2,4.7
Clyde River,75,CA,75,70.47,-68.59,-14.81,5.82
Marsabit,0,KE,64,2.34,37.99,75.22,7.87
Makasar,20,ID,69,-6.28,106.88,80.6,11.41
Toledo,40,PH,94,10.38,123.64,75.2,3.36
Inirida,20,CO,64,3.87,-67.92,87.6,2.62
San Quintin,0,PH,78,17.54,120.52,63.75,2.62
Saint Augustine,20,TT,51,10.65,-61.4,86.0,18.34
Port Augusta,90,AU,68,-32.49,137.76,66.2,16.11
Naze,0,NG,27,5.43,7.07,91.4,2.24
Cervo,75,BR,100,-22.19,-46.24,69.8,4.7
Hernani,0,ES,80,43.27,-1.98,40.46,2.17
Port-Gentil,20,GA,100,-0.72,8.78,73.4,6.93
Pacific Grove,1,US,60,36.62,-121.92,41.09,4.41
Kovdor,92,RU,85,67.56,30.47,15.15,2.84
Mukhen,80,RU,77,48.19,136.14,4.26,2.95
Muros,0,ES,71,42.77,-9.06,48.13,1.12
Hami,8,CN,53,42.84,93.51,2.82,5.19
Moen,40,NO,100,69.13,18.61,29.95,2.24
Exmouth,75,GB,100,50.62,-3.41,37.4,1.72
Muriti,20,TZ,74,-1.99,32.93,78.8,11.41
Kewanee,1,US,59,41.25,-89.92,41.32,6.31
Chimbote,0,PE,73,-9.08,-78.59,75.27,5.3
Puerto Suarez,75,BO,88,-18.96,-57.8,86.09,6.08
Homa Bay,75,KE,50,-0.53,34.45,78.8,10.29
Souillac,0,FR,68,45.6,-0.6,39.2,4.7
Lorengau,80,PG,100,-2.02,147.27,81.07,16.04
Islampur,0,IN,79,26.26,88.19,52.05,8.55
San Vicente,0,SV,52,13.64,-88.78,85.1,5.82
Lazurne,88,UA,86,46.77,34.99,27.88,14.7
Tawang,0,BT,15,27.59,91.87,19.83,0.94
Saint-Joseph,0,FR,80,43.56,6.97,41.0,2.24
Ancud,40,CL,68,-41.87,-73.83,66.2,13.87
Katsuura,75,JP,70,33.93,134.5,44.6,6.93
San Angelo,1,US,37,31.46,-100.44,51.98,9.17
Oktyabrskoye,75,RU,75,56.73,85.44,-20.21,4.41
Cayenne,75,GF,70,4.94,-52.33,84.2,16.11
Skelleftea,0,SE,92,64.75,20.95,28.4,4.52
Castelbuono,76,IT,100,37.93,14.09,30.85,2.51
Burgeo,44,CA,100,47.61,-57.61,30.36,16.04
Hutchinson,1,US,64,38.06,-97.93,41.11,9.17
Mweka,0,CD,82,-4.85,21.56,78.06,3.18
Plettenberg Bay,32,ZA,97,-34.05,23.37,68.02,16.93
Cabras,0,CO,56,5.5,-75.6,69.8,6.93
Karratha,0,AU,82,-20.74,116.85,76.35,7.65
Sitka,0,US,51,37.17,-99.65,48.85,9.66
Mackenzie,90,CA,92,55.34,-123.09,17.6,6.93
Sabang,92,PH,86,13.72,123.58,78.78,14.25
San Cristobal,20,EC,31,-0.39,-78.55,75.2,6.93
Chapleau,90,CA,100,47.85,-83.4,33.8,5.82
Grand Gaube,40,MU,88,-20.01,57.66,80.6,4.7
Canico,75,PT,59,32.63,-16.85,62.6,8.05
Assiniboia,24,CA,85,49.63,-105.99,40.08,17.16
Natal,20,BR,55,-5.81,-35.21,88.68,17.22
Salalah,20,OM,78,17.01,54.1,75.2,2.24
Jiuquan,0,CN,41,39.73,98.49,-10.51,2.51
Blackfoot,20,US,80,43.19,-112.35,15.51,4.7
Beipiao,0,CN,26,41.8,120.76,10.11,13.69
Tocopilla,12,CL,78,-22.09,-70.2,70.14,4.63
Benjamin Constant,75,BR,88,-4.38,-70.03,77.92,3.36
Idah,8,NG,60,7.11,6.73,83.1,2.73
Mareeba,75,AU,94,-16.99,145.42,73.4,5.82
Leibnitz,75,AT,68,46.78,15.54,30.42,3.36
Valparaiso,1,US,59,41.47,-87.06,41.54,6.93
Emerald,0,AU,73,-23.53,148.16,73.4,9.55
Samana,40,EC,70,0.12,-76.97,82.17,2.24
Changde,92,CN,94,29.04,111.68,34.63,4.18
Rincon,90,US,89,32.3,-81.24,65.82,10.29
Banda Aceh,36,ID,94,5.56,95.32,74.64,2.17
Avera,90,US,98,33.19,-82.53,63.5,13.87
Kisangani,32,CD,80,0.52,25.21,79.14,3.62
Batticaloa,100,LK,100,7.71,81.69,75.18,5.64
Borogontsy,64,RU,51,62.67,131.17,-30.76,3.62
Carlsbad,75,CZ,92,50.23,12.87,31.3,20.8
Kalmunai,44,LK,95,7.42,81.82,69.87,5.64
Airai,76,TL,84,-8.93,125.41,70.77,1.95
Moron,24,VE,58,10.49,-68.2,82.87,3.18
Komsomolskiy,48,RU,79,67.55,63.78,4.12,5.64
Yakima,1,US,68,46.6,-120.51,41.88,13.87
Zambezi,88,ZM,91,-13.55,23.12,70.68,4.41
Amnat Charoen,56,TH,70,15.86,104.63,74.37,12.46
Baghdad,0,IQ,71,33.3,44.38,53.6,2.24
Bonthe,8,SL,61,7.53,-12.5,87.96,4.41
Jatai,0,IN,83,28.97,76.18,45.57,3.18
Bara,12,NG,11,10.41,10.6,86.0,9.17
Tefe,88,BR,91,-3.35,-64.71,80.58,4.41
Khasan,0,RU,100,42.43,130.64,15.96,15.37
Grindavik,90,IS,100,63.84,-22.43,47.35,24.16
Bar Harbor,75,US,81,44.39,-68.2,35.44,8.05
Sayla,8,PE,53,-15.32,-73.22,68.61,2.28
Srandakan,68,ID,100,-7.94,110.25,70.86,2.84
Sumbe,20,AO,91,-11.2,13.84,82.4,10.29
Mandalgovi,12,MN,59,45.76,106.27,-15.5,2.95
Baoning,90,CN,93,25.34,110.03,42.8,6.71
ChengDe,0,CN,40,40.97,117.93,0.66,5.64
Bolshaya Martynovka,92,RU,87,47.27,41.67,38.28,19.51
Grenada,90,US,89,33.77,-89.81,43.65,13.87
Novoagansk,76,RU,80,61.94,76.66,19.78,8.88
Lebu,0,ET,39,8.96,38.73,50.88,6.42
Norman Wells,75,CA,78,65.28,-126.83,12.2,13.87
Maumelle,90,US,100,34.87,-92.4,42.85,10.29
Russell,24,AR,48,-33.01,-68.8,77.92,5.19
Lasa,75,CY,87,34.92,32.53,55.4,2.24
Moranbah,0,AU,93,-22.0,148.04,67.62,7.09
Tarakan,88,ID,100,3.3,117.63,77.47,3.29
Council Bluffs,1,US,65,41.26,-95.86,40.26,4.85
Hamilton,75,BM,88,32.3,-64.78,71.6,11.41
Vitoria,88,BR,75,-8.36,-72.77,79.72,3.4
Butte,1,US,76,46.01,-112.54,15.08,8.1
Te Anau,0,NZ,72,-45.41,167.72,55.78,12.68
Khandyga,56,RU,0,62.65,135.58,-34.09,2.62
Herat,40,AF,81,34.35,62.22,44.6,3.36
Maraa,100,BR,100,-1.83,-65.37,76.53,3.74
Buritis,12,BR,35,-15.62,-46.42,94.89,5.75
Vestmannaeyjar,90,IS,100,63.44,-20.27,48.2,25.28
Kyshtovka,76,RU,79,56.56,76.62,6.87,10.33
Tuatapere,0,NZ,76,-46.13,167.69,63.84,25.32
Colares,20,PT,67,38.8,-9.45,56.71,4.7
Bratsk,0,RU,75,56.15,101.63,-14.81,4.47
Bereda,0,ES,71,43.27,-7.54,50.0,4.7
Mikun,48,RU,82,62.35,50.08,7.9,10.67
Santa Cruz,1,US,73,36.97,-122.03,39.79,2.95
Nome,40,US,63,30.04,-94.42,50.7,10.29
Porto Novo,75,BR,66,-23.68,-45.44,84.2,8.05
Buritizeiro,20,BR,37,-17.37,-44.96,93.67,6.2
Bilgoraj,75,PL,85,50.54,22.72,24.8,11.41
Tual,88,ID,100,-5.67,132.75,81.21,14.36
Mananjary,64,MG,95,-19.16,46.8,62.08,0.72
Paro,0,BT,52,27.43,89.41,3.54,1.16
Zheleznodorozhnyy,75,RU,85,55.75,38.0,23.36,4.47
Hervey Bay,40,AU,83,-25.3,152.85,73.4,6.93
Portland,75,US,77,45.52,-122.67,48.29,12.75
Ankpa,0,NG,32,7.37,7.63,84.58,4.74
Alugan,100,PH,94,12.22,125.48,78.96,18.39
Seydi,0,NE,15,13.34,7.75,80.6,6.93
Tambovka,92,UA,91,46.93,35.45,28.15,15.7
Komsomolets,92,RU,94,52.77,41.29,24.24,3.29
Longyan,92,CN,100,25.1,117.03,58.03,1.95
Loma Bonita,92,MX,100,18.11,-95.88,67.35,6.98
Sept-Iles,90,CA,85,50.2,-66.38,14.0,6.93
Wasilla,90,US,84,61.58,-149.44,8.35,3.36
Liverpool,90,GB,86,53.41,-2.98,38.1,3.36
Altay,80,CN,71,47.83,88.13,2.01,2.17
Alofi,75,NU,94,-19.06,-169.92,73.4,2.24
Eureka,1,US,88,40.8,-124.16,41.9,4.7
Alice Springs,0,AU,13,-23.7,133.88,91.4,3.36
Ostersund,90,SE,86,63.18,14.64,39.2,12.75
Magnitogorsk,44,RU,76,53.42,58.98,-4.01,4.41
Talnakh,68,RU,76,69.49,88.39,7.05,18.05
Xiongzhou,90,CN,100,32.34,118.83,39.2,4.47
Asuncion Nochixtlan,12,MX,54,17.47,-97.23,68.02,2.95
Ola,0,RU,100,59.58,151.3,-0.38,9.78
Chumphon,100,TH,98,10.5,99.18,72.12,4.63
Leshukonskoye,8,RU,74,64.9,45.76,5.92,4.18
Tucumcari,1,US,41,35.17,-103.73,46.04,10.29
Victoria,75,BN,94,5.28,115.24,80.6,5.64
Kiunga,92,PG,98,-6.12,141.3,72.25,2.28
Tank,92,PK,97,32.22,70.39,42.33,3.06
Sechura,0,PE,70,-5.56,-80.82,81.12,11.23
Inuvik,90,CA,84,68.36,-133.71,3.2,8.05
Sohagpur,0,IN,64,22.7,78.2,55.42,5.75
Notodden,0,NO,80,59.56,9.26,35.6,6.93
Novyy Urengoy,44,RU,82,66.08,76.63,3.45,14.14
Tacuarembo,8,UY,75,-31.73,-55.98,76.71,9.1
Poyarkovo,0,RU,83,49.62,128.65,-13.48,4.07
Dukat,76,RS,80,42.44,22.31,17.31,2.06
Harbour Breton,32,CA,100,47.48,-55.8,27.3,10.22
Bramsche,75,DE,93,52.41,7.98,40.3,11.41
Izhmorskiy,76,RU,71,56.19,86.64,-5.6,3.29
Goderich,0,CA,84,43.74,-81.71,39.18,13.91
Jacmel,20,HT,48,18.24,-72.54,87.8,18.34
Praxedis Guerrero,1,MX,48,31.37,-106.02,39.22,4.18
Chandbali,0,IN,100,20.77,86.74,66.9,3.85
Zhigansk,32,RU,70,66.77,123.37,-15.73,6.53
Fort-Shevchenko,0,KZ,100,44.51,50.26,35.04,23.31
